"peiid","resdept","resdepb","resthk_l","resthk_r","resthk_h","reskind","reshard"
"64505",79,107,NA,NA,NA,"bedrock, paralithic","strongly coherent"
"64505",107,NA,NA,NA,NA,"bedrock, lithic",NA
"115595",74,81,NA,7,NA,"bedrock, paralithic",NA
"115819",74,81,NA,7,NA,"bedrock, paralithic",NA
"115827",79,107,NA,NA,NA,"bedrock, paralithic","strongly coherent"
"115827",107,NA,NA,NA,NA,"bedrock, lithic",NA
"207242",99,203,NA,104,NA,"bedrock, paralithic","moderately coherent"
"207255",73,97,NA,24,NA,"bedrock, paralithic","strongly coherent"
"242808",81,201,NA,NA,NA,"bedrock, lithic","very strongly coherent"
"252820",99,203,NA,104,NA,"bedrock, paralithic","moderately coherent"
"252851",81,152,NA,71,NA,"bedrock, lithic","strongly coherent"
"268791",58,201,NA,94,NA,"bedrock, lithic","very strongly coherent"
"268793",86,201,NA,NA,NA,"bedrock, lithic","very strongly coherent"
"268794",86,201,NA,NA,NA,"bedrock, lithic","very strongly coherent"
"268795",61,201,NA,NA,NA,"bedrock, lithic","very strongly coherent"
"268820",64,NA,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"307957",58,83,NA,25,NA,"bedrock, paralithic","moderately coherent"
"307961",61,86,NA,25,NA,"bedrock, lithic","very strongly coherent"
"335567",91,201,NA,NA,NA,"bedrock, lithic","indurated"
"338021",66,201,NA,NA,NA,"bedrock, lithic","indurated"
"338022",89,201,NA,NA,NA,"bedrock, lithic","indurated"
"338023",66,201,NA,NA,NA,"bedrock, lithic","indurated"
"338024",66,NA,NA,NA,NA,"bedrock, lithic","indurated"
"338025",74,NA,NA,NA,NA,"bedrock, lithic","indurated"
"338026",61,NA,NA,NA,NA,"bedrock, lithic","indurated"
"338027",66,NA,NA,NA,NA,"bedrock, lithic","indurated"
"338028",61,NA,NA,NA,NA,"bedrock, lithic","indurated"
"338029",63,NA,NA,NA,NA,"bedrock, lithic","indurated"
"338040",81,201,NA,NA,NA,"bedrock, lithic","indurated"
"338041",61,201,NA,NA,NA,"bedrock, lithic","indurated"
"338042",69,201,NA,NA,NA,"bedrock, lithic","indurated"
"338043",58,201,NA,NA,NA,"bedrock, lithic","indurated"
"338044",58,201,NA,NA,NA,"bedrock, lithic","indurated"
"338045",76,201,NA,NA,NA,"bedrock, lithic","indurated"
"338046",81,201,NA,NA,NA,"bedrock, lithic","indurated"
"342445",97,110,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"342445",110,201,NA,NA,NA,"bedrock, lithic","indurated"
"346008",97,110,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"346008",110,201,NA,NA,NA,"bedrock, lithic","indurated"
"351685",58,200,NA,NA,NA,"bedrock, lithic","indurated"
"351686",64,200,NA,NA,NA,"bedrock, lithic","indurated"
"351687",89,200,NA,NA,NA,"bedrock, lithic","indurated"
"351688",71,200,NA,NA,NA,"bedrock, lithic","indurated"
"351690",76,200,NA,NA,NA,"bedrock, lithic","indurated"
"351692",97,200,NA,NA,NA,"bedrock, lithic","indurated"
"351694",61,200,NA,NA,NA,"bedrock, lithic","indurated"
"351695",66,200,NA,NA,NA,"bedrock, lithic","indurated"
"351696",66,200,NA,NA,NA,"bedrock, lithic","indurated"
"351697",91,200,NA,909,NA,"bedrock, lithic","indurated"
"351698",63,200,NA,937,NA,"bedrock, lithic","indurated"
"351700",92,201,NA,NA,NA,"bedrock, lithic","indurated"
"351701",89,201,NA,NA,NA,"bedrock, lithic","indurated"
"351702",92,NA,NA,NA,NA,"bedrock, lithic","indurated"
"351703",92,NA,NA,NA,NA,"bedrock, lithic","indurated"
"351704",58,201,NA,NA,NA,"bedrock, lithic","indurated"
"351705",66,201,NA,NA,NA,"bedrock, lithic","indurated"
"351706",61,201,NA,NA,NA,"bedrock, lithic","indurated"
"351716",63,200,NA,NA,NA,"bedrock, lithic","indurated"
"351717",71,NA,200,NA,NA,"bedrock, lithic","indurated"
"352493",69,203,NA,NA,NA,"bedrock, lithic","indurated"
"352495",46,203,NA,NA,NA,"bedrock, lithic","indurated"
"352496",76,200,NA,NA,NA,"bedrock, lithic","indurated"
"374201",58,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"374205",66,96,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"374205",96,200,NA,NA,NA,"bedrock, lithic","indurated"
"374209",90,183,NA,NA,NA,"bedrock, lithic",NA
"374215",82,183,NA,NA,NA,"bedrock, lithic","indurated"
"374216",57,72,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"374216",72,183,NA,NA,NA,"bedrock, lithic","indurated"
"374219",93,105,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"374219",105,183,NA,NA,NA,"bedrock, lithic","indurated"
"374220",59,183,NA,NA,NA,"bedrock, lithic","indurated"
"374232",65,80,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"374232",80,183,NA,NA,NA,"bedrock, lithic","indurated"
"414895",54,64,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"414934",75,203,NA,NA,NA,"bedrock, lithic","indurated"
"414936",76,86,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"414938",72,92,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"414938",92,203,NA,NA,NA,"bedrock, lithic","indurated"
"414941",64,84,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"414941",84,203,NA,NA,NA,"bedrock, lithic","strongly coherent"
"425293",71,200,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"463689",69,80,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"463690",48,100,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"477042",80,100,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"477042",100,203,NA,NA,NA,"bedrock, lithic","indurated"
"477043",58,90,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"477043",90,203,NA,NA,NA,"bedrock, lithic","indurated"
"477048",65,203,NA,NA,NA,"bedrock, lithic","indurated"
"477055",52,66,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"477055",66,203,NA,NA,NA,"bedrock, lithic","strongly coherent"
"477056",54,64,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"477057",70,80,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"477059",71,81,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"488565",60,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"488568",51,NA,NA,NA,NA,"bedrock, paralithic","strongly coherent"
"488573",60,88,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"488573",88,100,NA,NA,NA,"bedrock, lithic","indurated"
"488578",80,200,NA,NA,NA,"bedrock, lithic","indurated"
"488581",63,NA,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"488582",54,71,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"488587",56,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"488596",50,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"488602",82,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"488612",NA,NA,NA,NA,NA,NA,NA
"488633",65,80,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"488636",89,95,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"488640",52,70,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"493742",68,100,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530603",70,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530611",60,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530634",85,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530649",54,90,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530662",60,90,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530662",90,200,NA,NA,NA,"bedrock, lithic","indurated"
"530692",76,200,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530693",71,200,NA,NA,NA,"bedrock, paralithic","strongly coherent"
"530694",56,200,NA,NA,NA,"bedrock, paralithic","strongly coherent"
"530699",64,67,NA,NA,NA,"bedrock, paralithic","weakly coherent"
"530699",67,203,NA,NA,NA,"bedrock, lithic","indurated"
"530709",60,183,NA,NA,NA,"bedrock, paralithic",NA
"530724",55,200,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530731",63,78,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530740",65,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530744",65,90,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530751",65,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530755",65,80,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"530790",75,100,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"533272",61,NA,NA,NA,NA,"bedrock, lithic","very strongly coherent"
"533462",60,NA,NA,NA,NA,"bedrock, paralithic",NA
"542093",56,200,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"542095",60,90,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"542120",87,NA,NA,NA,NA,"bedrock, paralithic",NA
"542121",60,72,NA,NA,NA,"bedrock, paralithic",NA
"542121",72,200,NA,NA,NA,"bedrock, lithic","very strongly coherent"
"542125",78,93,NA,NA,NA,"bedrock, densic","moderately coherent"
"542129",148,200,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"542130",70,100,NA,NA,NA,"bedrock, lithic","very strongly coherent"
"542131",72,80,NA,NA,NA,"bedrock, paralithic","strongly coherent"
"542153",62,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"542154",73,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"620521",85,200,NA,NA,NA,"bedrock, lithic","strongly coherent"
"620522",80,200,NA,NA,NA,"bedrock, lithic","indurated"
"620523",57,200,NA,NA,NA,"bedrock, lithic","indurated"
"625813",91,101,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"625815",86,96,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"625821",72,82,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"640603",82,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"640607",54,NA,NA,NA,NA,"bedrock, paralithic","strongly coherent"
"640610",89,200,NA,NA,NA,"bedrock, lithic","indurated"
"640625",52,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"640629",71,96,NA,25,NA,"bedrock, paralithic","moderately coherent"
"640630",61,86,NA,25,NA,"bedrock, paralithic","moderately coherent"
"640631",66,91,NA,25,NA,"bedrock, paralithic","moderately coherent"
"640647",56,71,NA,15,NA,"bedrock, paralithic","moderately coherent"
"640650",84,200,NA,NA,NA,"bedrock, lithic",NA
"839192",75,100,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"839203",60,85,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"839203",85,200,NA,NA,NA,"bedrock, lithic","strongly coherent"
"894094",80,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"894095",53,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"894118",59,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"894137",75,93,NA,18,NA,"bedrock, paralithic","moderately coherent"
"894137",93,NA,NA,NA,NA,"bedrock, lithic","indurated"
"894145",60,NA,NA,NA,NA,"bedrock, lithic","strongly coherent"
"978605",160,NA,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"978606",60,70,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"978607",65,92,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"978609",165,200,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"978610",90,115,NA,NA,NA,"bedrock, paralithic","moderately coherent"
"1137354",60,NA,NA,NA,NA,"bedrock, lithic","strongly coherent"
"1147151",41,63,NA,NA,NA,"bedrock, paralithic",NA
"1147151",63,200,NA,NA,NA,"bedrock, lithic","indurated"
"1147190",58,200,NA,NA,NA,"bedrock, lithic","indurated"
