"peiid","siteiid","ecositeid","ecositenm","ecositecorrdate","es_classifier","siteecositehistory.classifier","es_selection_method","upedonid","siteobsiid","usiteid","site_id","pedon_id","obsdate","obs_date","utmzone","utmeasting","utmnorthing","horizdatnm","longstddecimaldegrees","latstddecimaldegrees","gpspositionalerror","describer","descname","pedonpurpose","pedontype","pedlabsampnum","labdatadescflag","tsectstopnum","tsectinterval","utransectid","tsectkind","tsectselmeth","erocl","elev_field","slope_field","aspect_field","elev","slope","aspect","ecostatename","ecostateid","commphasename","commphaseid","plantassocnm","earthcovkind1","earthcovkind2","bedrckdepth","bedrckkind","bedrckhardness","pmgroupname","hillslopeprof","geomslopeseg","shapeacross","shapedown","slopecomplex","drainagecl","geomposhill","geomposmntn","geompostrce","geomposflats","swaterdepth","flodfreqcl","floddurcl","flodmonthbeg","pondfreqcl","ponddurcl","pondmonthbeg","climstaid","climstanm","climstatype","ffd","map","reannualprecip","airtempa","soiltempa","airtemps","soiltemps","airtempw","soiltempw","surface_fine_gravel","surface_gravel","surface_cobbles","surface_stones","surface_boulders","surface_channers","surface_flagstones","surface_parafine_gravel","surface_paragravel","surface_paracobbles","surface_parastones","surface_paraboulders","surface_parachanners","surface_paraflagstones","surface_unspecified","surface_total_frags_pct_nopf","surface_total_frags_pct","othervegid","othervegclass","site_state","site_county","site_mlra","slope_shape","surface_fgravel","classdate","classifier","classtype","taxonname","localphase","taxonkind","seriesstatus","taxclname","taxpartsize","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","soiltaxedition","osdtypelocflag","taxmoistcl","taxtempregime","taxfamother","taxreaction","taxfamhahatmatcl","psctopdepth","pscbotdepth","selection_method","ochric.epipedon","argillic.horizon","paralithic.materials","lithic.contact","paralithic.contact","abrupt.textural.change","duripan","cambic.horizon","andic.soil.properties","umbric.epipedon","aquic.conditions","slickensides","mollic.epipedon","mottles.with.chroma.2.or.less","calcic.horizon","anthropic.epipedon","kandic.horizon","densic.contact","densic.materials","lithologic.discontinuity","redox.depletions.with.chroma.2.or.less","redox.concentrations","reduced.matrix","histic.epipedon","albic.horizon","spodic.horizon","fibric.soil.materials","hemic.soil.materials","sapric.soil.materials","volcanic.glass","folistic.epipedon","strongly.contrasting.particle.size.class","episaturation","endosaturation","secondary.carbonates","human.transported.material","glossic.horizon","spodic.materials","albic.materials","landform_string","landscape_string","microfeature_string","geomicrorelief_string","pmkind","pmorigin"
"1137354",1155200,NA,NA,NA,NA,NA,NA,"08DWB028",1132024,"08CA630DWB028","08CA630DWB028","08DWB028",2008-09-29,2008-09-29,10,708601,4224746,"NAD83",-120.619472,38.1465,NA,"Dean Burkett","Dean Burkett","soil survey inventory","representative pedon for component",NA,FALSE,NA,NA,NA,NA,NA,NA,380,20,255,380,20,255,NA,NA,NA,NA,NA,"grass/herbaceous cover","rangeland, savanna",46,"greenstone","strongly coherent","colluvium derived from greenstone over residuum weathered from greenstone","shoulder","upper third","convex","convex",NA,"well","nose slope",NA,NA,NA,NA,"none",NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"CA","CA009","18","convex / convex",0,2008-09-29,"DWB","field","Gopheridge",NA,"series","established","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","loamy-skeletal","alfisols","xeralfs","haploxeralfs","ultic haploxeralfs","twelfth edition",FALSE,"xeric","thermic",NA,"not used",NA,18,60,"single record",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"hillslope","foothills",NA,NA,"colluvium & residuum","greenstone"
"1147151",1169946,"F018XI201CA","Moderately Deep Thermic Foothills",NA,NA,NA,"least missing data","07RJV098",1146805,"07CA630RJV098","07CA630RJV098","07RJV098",2007-08-31,2007-08-31,10,734211,4179663,"WGS84",-120.342186,37.734318,NA,"Bob Vobora","Bob Vobora","soil survey inventory","classifies to current taxon name, full description",NA,FALSE,NA,NA,NA,NA,NA,NA,344,8,280,344,8,280,NA,NA,NA,NA,NA,"tree cover","hardwoods",63,"chert","indurated","residuum weathered from chert","summit",NA,"convex","convex","simple","well","nose slope",NA,NA,NA,NA,"none",NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"CA","CA109","18","convex / convex",0,2017-03-15,"Julie Baker","correlated","Gopheridge",NA,"series","tentative","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","loamy-skeletal","alfisols","xeralfs","haploxeralfs","ultic haploxeralfs","twelfth edition",FALSE,"xeric","thermic",NA,"not used",NA,10,41,"most recent",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"gentle hillslope",NA,NA,NA,"residuum","chert"
"1147190",1201787,NA,NA,NA,NA,NA,NA,"07RJV099",1146844,"07CA630RJV099","07CA630RJV099","07RJV099",2007-09-27,2007-09-27,10,734462.88,4174573.9,"WGS84",-120.3409528,37.6883833,NA,"Bob Vobora","Bob Vobora",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,326,31,215,326,31,215,NA,NA,NA,NA,NA,"tree cover","hardwoods",58,"metavolcanics","indurated",NA,"backslope",NA,"convex","convex","complex","well","side slope",NA,NA,NA,NA,"none",NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"CA","CA109","18","convex / convex",0,2018-05-31,"Julie Baker","correlated","Gopheridge",NA,"series",NA,"Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","loamy-skeletal","alfisols","xeralfs","haploxeralfs","ultic haploxeralfs","twelfth edition",FALSE,"xeric","thermic","not used","not used",NA,20,46,"most recent",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"hillslope","hills",NA,NA,"colluvium & residuum","metavolcanics"
"115595",114622,NA,NA,NA,NA,NA,NA,"300J",113845,"300J","300J","300J",1999-06-21,1999-06-21,10,634515,4367113,"NAD83",-121.4367972,39.4449639,NA,"Felix J. Panlasigui Jr.","Felix J. Panlasigui Jr.","full pedon description","representative pedon for component","01N0263",FALSE,NA,NA,NA,NA,NA,NA,201,8,152,201,8,152,NA,NA,NA,NA,NA,"grass/herbaceous cover","hardwoods",74,"metavolcanics",NA,"residuum weathered from metavolcanics",NA,NA,"concave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"CA","CA007","18",NA,0,2012-07-24 00:02:22.917,NA,"correlated","LOAFERCREEK",NA,"series",NA,"Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","fine-loamy","alfisols","xeralfs","haploxeralfs","ultic haploxeralfs","eighth edition",FALSE,"xeric","thermic",NA,"not used",NA,10,61,"most recent",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"residuum","metavolcanics"
"115819",159118,NA,NA,NA,NA,NA,NA,"S2000CA007009",157872,"300J","300J","S2000CA007009",1999-06-21,1999-06-21,10,634515,4367113,"NAD83",-121.4367981,39.4449654,NA,"Felix Panlasigui","Felix Panlasigui","full pedon description","representative pedon for component","01N0263",FALSE,NA,NA,NA,NA,NA,NA,201,8,152,201,8,152,NA,NA,NA,NA,NA,"grass/herbaceous cover","hardwoods",74,"metavolcanics",NA,"residuum weathered from metavolcanics",NA,NA,"concave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"CA","CA007","18",NA,0,2011-07-03 05:18:06.5,NA,"correlated","LOAFERCREEK",NA,"series",NA,"Fine-loamy, mixed, superactive, thermic Typic Haploxeralfs","fine-loamy","alfisols","xeralfs","haploxeralfs","typic haploxeralfs","eighth edition",FALSE,"xeric","thermic",NA,"not used",NA,10,61,"most recent",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"residuum","metavolcanics"
"115827",159056,NA,NA,NA,NA,NA,NA,"S2000CA007012",157742,"716Q","716Q","S2000CA007012",1999-08-04,1999-08-04,10,633987,4375530,"NAD83",-121.441246,39.5189667,NA,"DWB","DWB","full pedon description","OSD pedon","01N0266",FALSE,NA,NA,NA,NA,NA,NA,365,18,290,365,18,290,NA,NA,NA,NA,NA,"shrub cover",NA,107,"metavolcanics",NA,"residuum weathered from metavolcanics",NA,NA,NA,NA,NA,"well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"CA","CA007","18",NA,0,2011-07-03 05:18:06.873,NA,"correlated","Loafercreek",NA,"series",NA,"Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","fine-loamy","alfisols","xeralfs","haploxeralfs","ultic haploxeralfs","ninth edition",FALSE,"xeric","thermic","not used",NA,NA,15,65,"most recent",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"residuum","metavolcanics"
"1193371",1231724,NA,NA,NA,NA,NA,NA,"2017CA6306054N",1231243,"2017CA6306054N","2017CA6306054N","2017CA6306054N",2017-06-16,2017-06-16,NA,NA,NA,NA,-120.45466,37.922821,NA,"Andrew Brown","Andrew Brown",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,422,NA,NA,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"greenstone","moderately coherent",NA,NA,NA,NA,NA,NA,NA,"side slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"CA","CA109","18",NA,0,2017-06-16,"Andrew Brown","field","Loafercreek",NA,"series",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207242",254459,NA,NA,NA,NA,NA,NA,"S2007CA109005",252030,"06-SMM-007","06-SMM-007","S2007CA109005",2006-10-03,2006-10-03,10,729321,4204365,"NAD83",-120.3897781,37.957943,NA,"Sue Malone","Sue Malone","laboratory sampling site","taxadjunct to the series","07N0474",TRUE,NA,NA,NA,NA,NA,NA,536,45,120,536,45,120,NA,NA,NA,NA,"Interior Live Oak - Chaparral","shrub cover","native shrubs",99,"siltstone, unspecified","moderately coherent","colluvium derived from argillite and/or colluvium derived from siltstone over residuum weathered from argillite and/or residuum weathered from siltstone","backslope",NA,"concave","linear","simple","well","side slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,686,NA,16,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"CA","CA109","18","concave / linear",0,2015-12-28,"Andrew Paolucci","correlated","Millvilla",NA,"taxadjunct","tentative","Coarse-loamy, mixed, superactive, thermic Typic Haploxerepts","coarse-loamy","inceptisols","xerepts","haploxerepts","typic haploxerepts","twelfth edition",FALSE,"xeric","thermic",NA,"not used",NA,25,99,"most recent",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"hillslope","foothills",NA,NA,"colluvium & colluvium & residuum & residuum","siltstone, unspecified & argillite"
"207255",209260,"F018XI200CA","Low Elevation Foothills",2017-04-12,NA,NA,"least missing data","06JCR007",207375,"06CA630JCR007","06CA630JCR007","06JCR007",2006-10-26,2006-10-26,10,714162,4189373,"NAD83",-120.5666122,37.826664,NA,"John Rule","John Rule","soil survey inventory","classifies to current taxon name, full description",NA,FALSE,1,30,"T0603","regular interval","random",NA,408,25,145,408,25,145,NA,NA,NA,NA,"Blue Oak Woodland","tree cover","hardwoods",73,"greenstone","strongly coherent","colluvium derived from greenstone over residuum weathered from greenstone","backslope",NA,"linear","linear",NA,"well","side slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,NA,NA,"CA","CA109","18","linear / linear",0,2017-04-11,NA,"correlated","Loafercreek",NA,"series",NA,"Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","fine-loamy","alfisols","xeralfs","haploxeralfs","ultic haploxeralfs","twelfth edition",FALSE,"xeric","thermic","not used","not used",NA,13,63,"most recent",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"hillslope","SIerra Nevada foothills",NA,NA,"colluvium & residuum","greenstone"
"242808",254491,NA,NA,NA,NA,NA,NA,"S2007CA009002",252061,"07-JCR-002","07-JCR-002","S2007CA009002",2007-04-02,2007-04-02,10,700783,4201935,"NAD83",-120.7150269,37.9428596,NA,"John Rule","John Rule","laboratory sampling site","OSD pedon","07N0469",TRUE,NA,NA,NA,NA,NA,NA,337,20,272,337,20,272,NA,NA,NA,NA,NA,"tree cover","hardwoods",81,"greenstone","strongly coherent","colluvium derived from greenstone and/or residuum weathered from greenstone","backslope","middle third","linear","linear","complex","well","side slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,23,NA,19,NA,NA,NA,NA,NA,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,24,24,NA,NA,"CA","CA009","18","linear / linear",0,2012-01-24,NA,"correlated","Gopheridge",NA,"series","tentative","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","loamy-skeletal","alfisols","xeralfs","haploxeralfs","ultic haploxeralfs","tenth edition",TRUE,"xeric","thermic",NA,"not used",NA,18,68,"most recent",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"hillslope","foothills",NA,NA,"colluvium & residuum","greenstone"
