upedonid,pedlabsampnum,state,climstaid,climstanm,climstatype
S07UT037004,08N0142,Utah,2138,Alkali Mesa,SCAN
S11UT043001,11N0382,Utah,992,Bear River RS,SNOTEL
S2012UT045001,13N57561,Utah,1214,Bevans Cabin,SNOTEL
S2013NV015001,14N0339,Nevada,337,Big Creek Summit,SNOTEL
S11NV033001,12N7849,Nevada,1155,Bird Creek,SNOTEL
S11UT043002,11N0383,Utah,1162,Blacks Fork Jct,SNOTEL
S07UT003-001,08N0135,Utah,2135,Blue Creek,SCAN
S2012UT041001,13N57558,Utah,364,Box Creek,SNOTEL
S2014UT021003,15N0474,Utah,1154,Brian Head,SNOTEL
S09NV003004,10N0512,Nevada,1111,Bristlecone Trail,SNOTEL
S2009UT013003,10N0501,Utah,368,Brown Duck,SNOTEL
S2012UT043002,13N57560,Utah,1192,Buck Pasture,SNOTEL
S2012UT037002,13N57551,Utah,1153,Buckboard Flat,SNOTEL
S2009UT033001,09N1054,Utah,2151,Buffalo Jump,SCAN
S2010CA003002,11N0375,California,1051,Burnside Lake,SNOTEL
S07UT005-001,08N0136,Utah,2136,Cache Junction,SCAN
S11NV033002,12N7850,Nevada,1152,Cave Mountain,SNOTEL
2014UT0531053,10N0509,Utah,2161,Cave Valley,SCAN
04NV003008,05N0126,NV,2145,Charkiln,SCAN
S2009UT029001,09N1052,Utah,2150,Chicken Ridge,SCAN
S2009UT029002,09N1053,Utah,2150,Chicken Ridge,SCAN
S07UT031001,07N0489,Utah,2125,Circleville,SCAN
S2014NV007031,15N0478,Nevada,1204,Columbia Basin,SNOTEL
S2014NV033002,15N0485,Nevada,1209,Corduroy Flat,SNOTEL
S2013UT007001,14N0331,Utah,1236,Corral,SNOTEL
S10UT051001,11N0380,Utah,432,Currant Creek,SNOTEL
S2014NV033003,15N0486,Nevada,1210,Defiance Mines,SNOTEL
S2009NV013001,09N1044,Nevada,445,Disaster Peak,SNOTEL
S2009NV007002,09N1043,Nevada,454,Draw Creek,SNOTEL
S11UT005001,12N7844,Utah,455,Dry Bread Pond,SNOTEL
S2013NV007902,14N0337,Nevada,1243,Dry Creek,SNOTEL
S2009UT045002,09N1057,Utah,2167,Dugway,SCAN
S07UT037001,07N0493,Utah,2130,Eastland,SCAN
S2013CA017001,14N0341,California,463,Echo Peak,SNOTEL
S11UT043003,11N0384,Utah,1163,Ef Blacks Fork Gs,SNOTEL
S07UT021001,07N0496,Utah,2128,Enterprise,SCAN
S2014UT039001,15N0475,Utah,2126,Ephraim,SCAN
S2014UT011001,15N0469,Utah,474,Farmington,SNOTEL
S10UT041001,11N0378,Utah,1149,Fish Lake Utah,SNOTEL
S10CA003003,11N0376,California,1049,Forestdale Creek,SNOTEL
S08AZ005001,08N0584,Arizona,1121,Fort Valley,SNOTEL
S2014NV007112,15N0483,Nevada,1262,Fry Canyon,SNOTEL
S2012UT039003,13N57554,Utah,1221,GBRC HQ,SNOTEL
S2012UT039004,13N57555,Utah,1222,GBRC Meadows,SNOTEL
S2010UT003001,11N0372,Utah,1151,George Creek,SNOTEL
S2011UT041001,12N7845,Utah,1184,Gooseberry R.S. Up,SNOTEL
S09UT045003,10N0506,Utah,2165,Goshute,SCAN
S2009UT045001,09N1056,Utah,2152,Grantsville,SCAN
S07UT015001,07N0491,Utah,2131,Green River,SCAN
S2009UT003001,10N0497,Utah,2160,Grouse Creek,SCAN
S2009UT027002,10N0504,Utah,2164,Hals Canyon,SCAN
S2012UT029001,13N57549,Utah,896,Hardscrabble,SNOTEL
S2009UT037001,10N0505,Utah,2166,Harms Way,SCAN
S08NV003001,08N0501 ,NV,2143,Hayford Peak,SCAN
S10UT043001,11N0381,Utah,1193,Henry's Fork,SNOTEL
S2012UT049001,13N57562,Utah,1223,Hobble Creek,SNOTEL
S07UT027001,07N0496,Utah,2127,Holden,SCAN
S10CA003001,11N0374,California,1050,Horse Meadow,SNOTEL
S2012UT039006,13N57557,Utah,1216,Huntington Horseshoe,SNOTEL
S11CA091001,12N7848,California,540,Independence Creek,SNOTEL
S2014NV007025,15N0477,Nevada,1211,Jakes Creek,SNOTEL
S2010UT029002,11N0369,Utah,1145,Kilfoil Creek,SNOTEL
S2009UT005002,09N1047,Utah,1115,Klondike Narrows,SNOTEL
S08NV003002,08N0496,NV,2141,Kyle Canyon,SCAN
S2009UT013002,10N0500,Utah,1116,Lakefork #3,SNOTEL
S2012UT037001,13N57550,Utah,1215,Lasal Mountain-Lower,SNOTEL
S10CA051002,11N0377,California,574,Leavitt Lake,SNOTEL
S09NV003006,10N0514,Nevada,1112,Lee Canyon,SNOTEL
05UT057001,05N0632,Utah,1056,Lightining Ridge,SNOTEL
05UT057002,05N0633,Utah,1056,Lightining Ridge_Aspen,SNOTEL
05UT057003,05N0634,Utah,1056,Lightining Ridge_Conifer,SNOTEL
S2009UT013004,10N0502,Utah,2155,Little Red Fox,SCAN
S2013NV031001,14N0340,Nevada,1242,Little Valley,SNOTEL
S2014UT017002,15N0471,Utah,1261,Lonesome Beaver,SNOTEL
S2010UT029001,11N0368,Utah,1118,Lost Creek Resv,SNOTEL
S08NV003004,08N0498 ,NV,2146,Lovell Summit,SCAN
S2006NV027001,07N0011,NV,2116,Lovelock Nnr,SCAN
S2009UT001001,09N1045,Utah,2156,Manderfield,SCAN
S07UT037005,08N0143,Utah,2140,McCracken Mesa,SCAN
S2014NV007024,15N0476,Nevada,1207,Merritt Mountain,SNOTEL
S2014NV007033,15N0480,Nevada,1206,Midas,SNOTEL
S2014UT021001,15N0472,Utah,626,Midway Valley,SNOTEL
S07UT001001,07N0494,Utah,2129,Milford,SCAN
S11UT057001,12N7846,Utah,634,Monte Cristo,SNOTEL
S2013UT029001,14N0335,Utah,2133,Morgan,SCAN
S08AZ005002,08N0585,Arizona,1125,Mormon Mtn Summit,SNOTEL
S07UT037005,08N0143,Utah,2134,Mountain Home,SCAN
S2012UT039001,13N57552,Utah,1224,Mt Baldy,SNOTEL
S07UT023001,08N0139,Utah,2137,Nephi,SCAN
S2012UT027001,13N57548,Utah,1146,Oak Creek,SNOTEL
S2009UT017001,09N1049,Utah,2157,Panguitch,SCAN
S2014UT017001,15N0470,Utah,1148,Panguitch Lake,SNOTEL
S2009UT003002,10N0498,Utah,2153,Park Valley,SCAN
S08NV003003,08N0497,NV,2144,Pine Nut,SCAN
