"Name","Site","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","climstanm","upedonid","pedlabsampnum"
"AAMU-JTG",2057,"Alabama","SCAN","Madison",860,34.78333,-86.55,"060300020403","AAMU-JTG","S02AL089002","02N0184"
"Abrams",2092,"Kansas","SCAN","Cowley",1194,37.1313,-97.0859,"110300130307","Abrams","04KS035001","04N0873"
"Adams Ranch #1",2015,"New Mexico","SCAN","Lincoln",6175,34.25,-105.41667,"130600060201","Adam's Ranch","92NM027001","92P0681"
"Adin Mtn",301,"California","SNOTEL","Modoc",6190,41.23583,-120.79192,"180200021403",NA,NA,NA
"Agua Canyon",907,"Utah","SNOTEL","Kane",8900,37.52217,-112.27118,"160300020301",NA,NA,NA
"Albro Lake",916,"Montana","SNOTEL","Madison",8300,45.59723,-111.95902,"100200050701",NA,NA,NA
"Alcalde",2172,"New Mexico","SCAN","Rio Arriba",5693,36.0908,-106.05668,"130201011107","Alcalde","S2010NM039001","10N1336"
"Alexander Lake",1267,"Alaska","SNOTEL","Matanuska-Susitna",160,61.74967,-150.88967,"190205051106",NA,NA,NA
"Alkali Mesa",2138,"Utah","SCAN","San Juan",6445,37.67455,-109.36429,"140802030601","Alkali Mesa","S07UT037004","08N0142"
"Allen Farms",2076,"Tennessee","SCAN","Giles",705,35.0747,-86.8938,"060300030905","Allen Farms","2003TN055001S","03N0737"
"Alpine Meadows",908,"Washington","SNOTEL","King",3500,47.77957,-121.69847,"171100100501",NA,NA,NA
"American Creek",1189,"Alaska","SNOTEL","Southeast Fairbanks",1050,64.78969,-141.23376,"190705050504",NA,NA,NA
"Ames",2031,"Iowa","SCAN","Boone",1073,42.01667,-93.73333,"070801050307","Ames","S2001IA015001","02N0164"
"Anchor River Divide",1062,"Alaska","SNOTEL","Kenai Peninsula",1653,59.85972,-151.315,"190203010701",NA,NA,NA
"Anchorage Hillside",1070,"Alaska","SNOTEL","Anchorage",2080,61.11483,-149.66683,"190204010601",NA,NA,NA
"Aneroid Lake #2",302,"Oregon","SNOTEL","Wallowa",7400,45.21328,-117.19258,"170601050101",NA,NA,NA
"Aniak",2065,"Alaska","SCAN","Bethel",80,61.58337,-159.57708,"190305020504","Aniak","S2001AK178001","01N1174"
"Annie Springs",1000,"Oregon","SNOTEL","Klamath",6010,42.87007,-122.16518,"180102030101",NA,NA,NA
"Apishapa",303,"Colorado","SNOTEL","Huerfano",10000,37.33062,-105.06749,"110200060406",NA,NA,NA
"Arapaho Ridge",1030,"Colorado","SNOTEL","Grand",10960,40.35098,-106.35098,"140100010604",NA,NA,NA
"Arbuckle Mtn",304,"Oregon","SNOTEL","Morrow",5770,45.19085,-119.25392,"170702020604",NA,NA,NA
"Ash Valley",2214,"California","SCAN","Lassen",5097,41.05204,-120.6872,"180200021404",NA,NA,NA
"Atigun Pass",957,"Alaska","SNOTEL","North Slope",4800,68.12983,-149.47817,"190802010102",NA,NA,NA
"Atlanta Summit",306,"Idaho","SNOTEL","Elmore",7580,43.7569,-115.23907,"170501110204",NA,NA,NA
"Badger Pass",307,"Montana","SNOTEL","Pondera",6900,48.13088,-113.02317,"100302010201",NA,NA,NA
"Baker Butte",308,"Arizona","SNOTEL","Gila",7300,34.4566,-111.40643,"150602030206",NA,NA,NA
"Baker Butte Smt",1140,"Arizona","SNOTEL","Coconino",7700,34.45547,-111.38272,"150602030103",NA,NA,NA
"Bald Mtn.",309,"Wyoming","SNOTEL","Big Horn",9380,44.8007,-107.84442,"100800100501",NA,NA,NA
"Baldy",310,"Arizona","SNOTEL","Apache",9125,33.97883,-109.50344,"150200010203",NA,NA,NA
"Banfield Mountain",311,"Montana","SNOTEL","Lincoln",5600,48.5712,-115.44573,"170101011202",NA,NA,NA
"Banner Summit",312,"Idaho","SNOTEL","Boise",7040,44.30342,-115.23447,"170501200202",NA,NA,NA
"Bar M",1212,"Arizona","SNOTEL","Coconino",6393,34.86136,-111.60503,"150602020601",NA,NA,NA
"Barker Lakes",313,"Montana","SNOTEL","Deer Lodge",8250,46.09713,-113.13038,"170102010304",NA,NA,NA
"Base Camp",314,"Wyoming","SNOTEL","Teton",7060,43.94019,-110.44544,"170401010304",NA,NA,NA
"Basin Creek",315,"Montana","SNOTEL","Silver Bow",7180,45.79737,-112.52047,"170102010201",NA,NA,NA
"Bateman",316,"New Mexico","SNOTEL","Rio Arriba",9300,36.51174,-106.31543,"130201020901",NA,NA,NA
"Battle Mountain",317,"Wyoming","SNOTEL","Carbon",7440,41.05413,-107.26609,"140500030109",NA,NA,NA
"Beagle Springs",318,"Montana","SNOTEL","Beaverhead",8850,44.47147,-112.98191,"100200010501",NA,NA,NA
"Bear Basin",319,"Idaho","SNOTEL","Adams",5350,44.95222,-116.14293,"170602100104",NA,NA,NA
"Bear Canyon",320,"Idaho","SNOTEL","Custer",7900,43.74367,-113.93797,"170402180101",NA,NA,NA
"Bear Creek",321,"Nevada","SNOTEL","Elko",8040,41.83384,-115.45278,"170501020301",NA,NA,NA
"Bear Grass",1166,"Oregon","SNOTEL","Linn",4720,44.3253,-122.0938,"170900040203",NA,NA,NA
"Bear Lake",322,"Colorado","SNOTEL","Larimer",9500,40.31176,-105.6467,"101900060201",NA,NA,NA
